"symIndex","startDay","delta1","delta2","delta3","nowEndDelta"
96,2390,0.0058365758754861385,0.011673151750972943,-0.008754863813229541,-1
182,5717,0.03906250000000011,0.01742788461538458,0.015024038461538436,-1
182,5717,-0.03906250000000011,-0.01742788461538458,-0.015024038461538436,1
21,4880,-0.013598326359832713,0.00156903765690386,0.005230125523012608,1
21,4880,0.013598326359832713,-0.00156903765690386,-0.005230125523012608,-1
63,4475,-0.013297217434129482,0.011819748830337318,0.014035951736025565,0
63,4475,0.013297217434129482,-0.011819748830337318,-0.014035951736025565,0
58,5726,-0.0036108751062021716,0.007646559048428259,4.2480883602369346E-4,0
58,5726,0.0036108751062021716,-0.007646559048428259,-4.2480883602369346E-4,0
8,4479,0.01328101418653771,9.055236945367806E-4,0.004829459704195682,1
8,4479,-0.01328101418653771,-9.055236945367806E-4,-0.004829459704195682,-1
107,3906,-0.011102299762093648,0.019825535289452856,0.007930214115781098,0
107,3906,0.011102299762093648,-0.019825535289452856,-0.007930214115781098,0
34,3721,0.004924242424242498,-0.010984848484848486,0.018181818181818077,0
34,3721,-0.004924242424242498,0.010984848484848486,-0.018181818181818077,0
2,4990,-0.0057388809182210565,0.006695361071257899,-0.009564801530368205,1
2,4990,0.0057388809182210565,-0.006695361071257899,0.009564801530368205,-1
178,5525,0.0048000000000000265,0.013333333333333308,-0.005333333333333412,1
178,5525,-0.0048000000000000265,-0.013333333333333308,0.005333333333333412,-1
211,4072,0.0,-0.009967960128159481,0.012459950160199407,1
211,4072,-0.0,0.009967960128159481,-0.012459950160199407,-1
175,3490,-0.012164216928535199,-0.01723264064875818,-0.016218955904713672,0
175,3490,0.012164216928535199,0.01723264064875818,0.016218955904713672,0
48,1636,-0.022403258655804725,-0.008146639511201315,-0.014256619144602967,-1
48,1636,0.022403258655804725,0.008146639511201315,0.014256619144602967,1
75,778,-0.006150061500615145,0.011070110701107305,-0.03075030750307506,-1
75,778,0.006150061500615145,-0.011070110701107305,0.03075030750307506,1
63,4086,-0.0064246707356248045,-0.0019274012206875746,-0.002248634757468615,1
63,4086,0.0064246707356248045,0.0019274012206875746,0.002248634757468615,-1
37,2299,0.021963041502574887,0.04826820155508449,-0.02191255175199447,1
37,2299,-0.021963041502574887,-0.04826820155508449,0.02191255175199447,-1
230,4226,3.746721618584914E-4,0.005245410266017214,0.0,1
230,4226,-3.746721618584914E-4,-0.005245410266017214,-0.0,-1
148,3875,-0.002178649237472685,-0.006535947712418277,-0.0010893246187364536,0
148,3875,0.002178649237472685,0.006535947712418277,0.0010893246187364536,0
205,5252,-4.998750312421585E-4,-0.017245688577855578,-0.0027493126718320937,1
205,5252,4.998750312421585E-4,0.017245688577855578,0.0027493126718320937,-1
162,4529,-0.008938148015731118,-0.015731140507686647,0.006077940650697111,0
162,4529,0.008938148015731118,0.015731140507686647,-0.006077940650697111,0
233,1260,-0.016304347826086918,0.0027173913043477826,0.01902173913043481,0
233,1260,0.016304347826086918,-0.0027173913043477826,-0.01902173913043481,0
136,6047,0.0032965554359525306,0.01352260495156088,-6.727664155015134E-5,0
136,6047,-0.0032965554359525306,-0.01352260495156088,6.727664155015134E-5,0
82,602,-0.03498542274052463,-0.11953352769679304,-0.017492711370262315,-1
82,602,0.03498542274052463,0.11953352769679304,0.017492711370262315,1
186,4411,0.0010897203051216664,0.0018162005085362587,0.014166363966581885,-1
186,4411,-0.0010897203051216664,-0.0018162005085362587,-0.014166363966581885,1
246,1111,0.008141112618724633,-0.0027137042062415073,-0.0027137042062415073,0
246,1111,-0.008141112618724633,0.0027137042062415073,0.0027137042062415073,0
38,3371,0.003835616438356171,0.01041095890410948,-0.007123287671232825,1
38,3371,-0.003835616438356171,-0.01041095890410948,0.007123287671232825,-1
65,1546,-0.01038062283737018,0.021914648212225996,0.008073817762399127,-1
65,1546,0.01038062283737018,-0.021914648212225996,-0.008073817762399127,1
233,1534,0.007389162561576401,0.0024630541871920597,0.0,0
233,1534,-0.007389162561576401,-0.0024630541871920597,-0.0,0
133,3009,0.05927552140504955,0.06147091108671776,-0.014818880351262331,1
133,3009,-0.05927552140504955,-0.06147091108671776,0.014818880351262331,-1
197,4168,0.028803545051698798,0.02806499261447548,0.001477104874446078,0
197,4168,-0.028803545051698798,-0.02806499261447548,-0.001477104874446078,0
85,3634,0.0049586776859502635,0.0022038567493114503,-0.0027548209366392573,0
85,3634,-0.0049586776859502635,-0.0022038567493114503,0.0027548209366392573,0
212,824,-0.0026595744680850686,-0.0026595744680852906,-0.005319148936170137,0
212,824,0.0026595744680850686,0.0026595744680852906,0.005319148936170137,0
180,1905,0.016155088852988775,0.03231017770597733,0.001615508885298933,1
180,1905,-0.016155088852988775,-0.03231017770597733,-0.001615508885298933,-1
161,5134,0.0023999999999999577,-0.026399999999999757,0.023199999999999887,-1
161,5134,-0.0023999999999999577,0.026399999999999757,-0.023199999999999887,1
65,3701,-0.03493804590696725,0.01076579321551896,-0.010156408693885899,1
65,3701,0.03493804590696725,-0.01076579321551896,0.010156408693885899,-1
125,2261,-0.008034279592929794,-0.017675415104445702,0.011783610069630579,0
125,2261,0.008034279592929794,0.017675415104445702,-0.011783610069630579,0
16,2147,0.01245551601423489,-0.004744958481613382,0.027283511269276417,1
16,2147,-0.01245551601423489,0.004744958481613382,-0.027283511269276417,-1
77,579,0.010928961748633892,0.010928961748633892,0.010928961748633892,1
77,579,-0.010928961748633892,-0.010928961748633892,-0.010928961748633892,-1
240,5433,-0.0311626048741509,0.016779864163004365,-0.05952856572113463,1
240,5433,0.0311626048741509,-0.016779864163004365,0.05952856572113463,-1
213,2732,-0.008298755186721962,-0.010373443983402453,-0.010373443983402453,0
213,2732,0.008298755186721962,0.010373443983402453,0.010373443983402453,0
152,759,-0.015151515151515138,-0.005050505050504972,-0.010101010101010166,1
152,759,0.015151515151515138,0.005050505050504972,0.010101010101010166,-1
178,4353,-0.007419183889772252,0.00635930047694766,0.014838367779544281,-1
178,4353,0.007419183889772252,-0.00635930047694766,-0.014838367779544281,1
246,2115,0.019485580670303926,0.021823850350740415,0.0,0
246,2115,-0.019485580670303926,-0.021823850350740415,-0.0,0
108,4687,-0.0019212295869355245,-4.803073967338811E-4,-0.01056676272814605,-1
108,4687,0.0019212295869355245,4.803073967338811E-4,0.01056676272814605,1
233,3593,0.0011025358324145973,0.0,-0.004410143329658167,-1
233,3593,-0.0011025358324145973,-0.0,0.004410143329658167,1
